　	3000	0xa600
、	3001	0xa601
。	3002	0xa602
・	30fb	0xa603
ˉ	02c9	0xa604
ˇ	02c7	0xa605
¨	00a8	0xa606
〃	3003	0xa607
々	3005	0xa608
―	2015	0xa609
～	ff5e	0xa60a
‖	2016	0xa60b
…	2026	0xa60c
‘	2018	0xa60d
’	2019	0xa60e
“	201c	0xa60f
”	201d	0xa610
〔	3014	0xa611
〕	3015	0xa612
〈	3008	0xa613
〉	3009	0xa614
《	300a	0xa615
》	300b	0xa616
「	300c	0xa617
」	300d	0xa618
『	300e	0xa619
』	300f	0xa61a
〖	3016	0xa61b
〗	3017	0xa61c
【	3010	0xa61d
】	3011	0xa61e
±	00b1	0xa61f
×	00d7	0xa620
÷	00f7	0xa621
∶	2236	0xa622
∧	2227	0xa623
∨	2228	0xa624
∑	2211	0xa625
∏	220f	0xa626
∪	222a	0xa627
∩	2229	0xa628
∈	2208	0xa629
∷	2237	0xa62a
√	221a	0xa62b
⊥	22a5	0xa62c
∥	2225	0xa62d
∠	2220	0xa62e
⌒	2312	0xa62f
⊙	2299	0xa630
∫	222b	0xa631
∮	222e	0xa632
≡	2261	0xa633
≌	224c	0xa634
≈	2248	0xa635
∽	223d	0xa636
∝	221d	0xa637
≠	2260	0xa638
≮	226e	0xa639
≯	226f	0xa63a
≤	2264	0xa63b
≥	2265	0xa63c
∞	221e	0xa63d
∵	2235	0xa63e
∴	2234	0xa63f
♂	2642	0xa640
♀	2640	0xa641
°	00b0	0xa642
′	2032	0xa643
″	2033	0xa644
℃	2103	0xa645
＄	ff04	0xa646
¤	00a4	0xa647
￠	ffe0	0xa648
￡	ffe1	0xa649
‰	2030	0xa64a
§	00a7	0xa64b
№	2116	0xa64c
☆	2606	0xa64d
★	2605	0xa64e
○	25cb	0xa64f
●	25cf	0xa650
◎	25ce	0xa651
◇	25c7	0xa652
◆	25c6	0xa653
□	25a1	0xa654
■	25a0	0xa655
△	25b3	0xa656
▲	25b2	0xa657
※	203b	0xa658
→	2192	0xa659
←	2190	0xa65a
↑	2191	0xa65b
↓	2193	0xa65c
〓	3013	0xa65d
⒈	2488	0xa66e
⒉	2489	0xa66f
⒊	248a	0xa670
⒋	248b	0xa671
⒌	248c	0xa672
⒍	248d	0xa673
⒎	248e	0xa674
⒏	248f	0xa675
⒐	2490	0xa676
⒑	2491	0xa677
⒒	2492	0xa678
⒓	2493	0xa679
⒔	2494	0xa67a
⒕	2495	0xa67b
⒖	2496	0xa67c
⒗	2497	0xa67d
⒘	2498	0xa67e
⒙	2499	0xa67f
⒚	249a	0xa680
⒛	249b	0xa681
⑴	2474	0xa682
⑵	2475	0xa683
⑶	2476	0xa684
⑷	2477	0xa685
⑸	2478	0xa686
⑹	2479	0xa687
⑺	247a	0xa688
⑻	247b	0xa689
⑼	247c	0xa68a
⑽	247d	0xa68b
⑾	247e	0xa68c
⑿	247f	0xa68d
⒀	2480	0xa68e
⒁	2481	0xa68f
⒂	2482	0xa690
⒃	2483	0xa691
⒄	2484	0xa692
⒅	2485	0xa693
⒆	2486	0xa694
⒇	2487	0xa695
①	2460	0xa696
②	2461	0xa697
③	2462	0xa698
④	2463	0xa699
⑤	2464	0xa69a
⑥	2465	0xa69b
⑦	2466	0xa69c
⑧	2467	0xa69d
⑨	2468	0xa69e
⑩	2469	0xa69f
㈠	3220	0xa6a2
㈡	3221	0xa6a3
㈢	3222	0xa6a4
㈣	3223	0xa6a5
㈤	3224	0xa6a6
㈥	3225	0xa6a7
㈦	3226	0xa6a8
㈧	3227	0xa6a9
㈨	3228	0xa6aa
㈩	3229	0xa6ab
Ⅰ	2160	0xa6ae
Ⅱ	2161	0xa6af
Ⅲ	2162	0xa6b0
Ⅳ	2163	0xa6b1
Ⅴ	2164	0xa6b2
Ⅵ	2165	0xa6b3
Ⅶ	2166	0xa6b4
Ⅷ	2167	0xa6b5
Ⅸ	2168	0xa6b6
Ⅹ	2169	0xa6b7
Ⅺ	216a	0xa6b8
Ⅻ	216b	0xa6b9
！	ff01	0xa6bc
＂	ff02	0xa6bd
＃	ff03	0xa6be
￥	ffe5	0xa6bf
％	ff05	0xa6c0
＆	ff06	0xa6c1
＇	ff07	0xa6c2
（	ff08	0xa6c3
）	ff09	0xa6c4
＊	ff0a	0xa6c5
＋	ff0b	0xa6c6
，	ff0c	0xa6c7
－	ff0d	0xa6c8
．	ff0e	0xa6c9
／	ff0f	0xa6ca
０	ff10	0xa6cb
１	ff11	0xa6cc
２	ff12	0xa6cd
３	ff13	0xa6ce
４	ff14	0xa6cf
５	ff15	0xa6d0
６	ff16	0xa6d1
７	ff17	0xa6d2
８	ff18	0xa6d3
９	ff19	0xa6d4
：	ff1a	0xa6d5
；	ff1b	0xa6d6
＜	ff1c	0xa6d7
＝	ff1d	0xa6d8
＞	ff1e	0xa6d9
？	ff1f	0xa6da
＠	ff20	0xa6db
Ａ	ff21	0xa6dc
Ｂ	ff22	0xa6dd
Ｃ	ff23	0xa6de
Ｄ	ff24	0xa6df
Ｅ	ff25	0xa6e0
Ｆ	ff26	0xa6e1
Ｇ	ff27	0xa6e2
Ｈ	ff28	0xa6e3
Ｉ	ff29	0xa6e4
Ｊ	ff2a	0xa6e5
Ｋ	ff2b	0xa6e6
Ｌ	ff2c	0xa6e7
Ｍ	ff2d	0xa6e8
Ｎ	ff2e	0xa6e9
Ｏ	ff2f	0xa6ea
Ｐ	ff30	0xa6eb
Ｑ	ff31	0xa6ec
Ｒ	ff32	0xa6ed
Ｓ	ff33	0xa6ee
Ｔ	ff34	0xa6ef
Ｕ	ff35	0xa6f0
Ｖ	ff36	0xa6f1
Ｗ	ff37	0xa6f2
Ｘ	ff38	0xa6f3
Ｙ	ff39	0xa6f4
Ｚ	ff3a	0xa6f5
［	ff3b	0xa6f6
＼	ff3c	0xa6f7
］	ff3d	0xa6f8
＾	ff3e	0xa6f9
＿	ff3f	0xa6fa
｀	ff40	0xa6fb
ａ	ff41	0xa6fc
ｂ	ff42	0xa6fd
ｃ	ff43	0xa6fe
ｄ	ff44	0xa6ff
ｅ	ff45	0xa700
ｆ	ff46	0xa701
ｇ	ff47	0xa702
ｈ	ff48	0xa703
ｉ	ff49	0xa704
ｊ	ff4a	0xa705
ｋ	ff4b	0xa706
ｌ	ff4c	0xa707
ｍ	ff4d	0xa708
ｎ	ff4e	0xa709
ｏ	ff4f	0xa70a
ｐ	ff50	0xa70b
ｑ	ff51	0xa70c
ｒ	ff52	0xa70d
ｓ	ff53	0xa70e
ｔ	ff54	0xa70f
ｕ	ff55	0xa710
ｖ	ff56	0xa711
ｗ	ff57	0xa712
ｘ	ff58	0xa713
ｙ	ff59	0xa714
ｚ	ff5a	0xa715
｛	ff5b	0xa716
｜	ff5c	0xa717
｝	ff5d	0xa718
￣	ffe3	0xa719
ぁ	3041	0xa71a
あ	3042	0xa71b
ぃ	3043	0xa71c
い	3044	0xa71d
ぅ	3045	0xa71e
う	3046	0xa71f
ぇ	3047	0xa720
え	3048	0xa721
ぉ	3049	0xa722
お	304a	0xa723
か	304b	0xa724
が	304c	0xa725
き	304d	0xa726
ぎ	304e	0xa727
く	304f	0xa728
ぐ	3050	0xa729
け	3051	0xa72a
げ	3052	0xa72b
こ	3053	0xa72c
