　	0030	0xa600
、	0130	0xa601
。	0230	0xa602
・	fb30	0xa603
ˉ	c902	0xa604
ˇ	c702	0xa605
¨	a800	0xa606
〃	0330	0xa607
々	0530	0xa608
―	1520	0xa609
～	5eff	0xa60a
‖	1620	0xa60b
…	2620	0xa60c
‘	1820	0xa60d
’	1920	0xa60e
“	1c20	0xa60f
”	1d20	0xa610
〔	1430	0xa611
〕	1530	0xa612
〈	0830	0xa613
〉	0930	0xa614
《	0a30	0xa615
》	0b30	0xa616
「	0c30	0xa617
」	0d30	0xa618
『	0e30	0xa619
』	0f30	0xa61a
〖	1630	0xa61b
〗	1730	0xa61c
【	1030	0xa61d
】	1130	0xa61e
±	b100	0xa61f
×	d700	0xa620
÷	f700	0xa621
∶	3622	0xa622
∧	2722	0xa623
∨	2822	0xa624
∑	1122	0xa625
∏	0f22	0xa626
∪	2a22	0xa627
∩	2922	0xa628
∈	0822	0xa629
∷	3722	0xa62a
√	1a22	0xa62b
⊥	a522	0xa62c
∥	2522	0xa62d
∠	2022	0xa62e
⌒	1223	0xa62f
⊙	9922	0xa630
∫	2b22	0xa631
∮	2e22	0xa632
≡	6122	0xa633
≌	4c22	0xa634
≈	4822	0xa635
∽	3d22	0xa636
∝	1d22	0xa637
≠	6022	0xa638
≮	6e22	0xa639
≯	6f22	0xa63a
≤	6422	0xa63b
≥	6522	0xa63c
∞	1e22	0xa63d
∵	3522	0xa63e
∴	3422	0xa63f
♂	4226	0xa640
♀	4026	0xa641
°	b000	0xa642
′	3220	0xa643
″	3320	0xa644
℃	0321	0xa645
＄	04ff	0xa646
¤	a400	0xa647
￠	e0ff	0xa648
￡	e1ff	0xa649
‰	3020	0xa64a
§	a700	0xa64b
№	1621	0xa64c
☆	0626	0xa64d
★	0526	0xa64e
○	cb25	0xa64f
●	cf25	0xa650
◎	ce25	0xa651
◇	c725	0xa652
◆	c625	0xa653
□	a125	0xa654
■	a025	0xa655
△	b325	0xa656
▲	b225	0xa657
※	3b20	0xa658
→	9221	0xa659
←	9021	0xa65a
↑	9121	0xa65b
↓	9321	0xa65c
〓	1330	0xa65d
〓	0000	0xa65d
〓	0000	0xa65d
〓	0000	0xa65d
〓	0000	0xa65d
〓	0000	0xa65d
〓	0000	0xa65d
〓	0000	0xa65d
〓	0000	0xa65d
〓	0000	0xa65d
〓	0000	0xa65d
〓	0000	0xa65d
〓	0000	0xa65d
〓	0000	0xa65d
〓	0000	0xa65d
〓	0000	0xa65d
〓	0000	0xa65d
⒈	8824	0xa66e
⒉	8924	0xa66f
⒊	8a24	0xa670
⒋	8b24	0xa671
⒌	8c24	0xa672
⒍	8d24	0xa673
⒎	8e24	0xa674
⒏	8f24	0xa675
⒐	9024	0xa676
⒑	9124	0xa677
⒒	9224	0xa678
⒓	9324	0xa679
⒔	9424	0xa67a
⒕	9524	0xa67b
⒖	9624	0xa67c
⒗	9724	0xa67d
⒘	9824	0xa67e
⒙	9924	0xa67f
⒚	9a24	0xa680
⒛	9b24	0xa681
⑴	7424	0xa682
⑵	7524	0xa683
⑶	7624	0xa684
⑷	7724	0xa685
⑸	7824	0xa686
⑹	7924	0xa687
⑺	7a24	0xa688
⑻	7b24	0xa689
⑼	7c24	0xa68a
⑽	7d24	0xa68b
⑾	7e24	0xa68c
⑿	7f24	0xa68d
⒀	8024	0xa68e
⒁	8124	0xa68f
⒂	8224	0xa690
⒃	8324	0xa691
⒄	8424	0xa692
⒅	8524	0xa693
⒆	8624	0xa694
⒇	8724	0xa695
①	6024	0xa696
②	6124	0xa697
③	6224	0xa698
④	6324	0xa699
⑤	6424	0xa69a
⑥	6524	0xa69b
⑦	6624	0xa69c
⑧	6724	0xa69d
⑨	6824	0xa69e
⑩	6924	0xa69f
⑩	0000	0xa69f
⑩	0000	0xa69f
㈠	2032	0xa6a2
㈡	2132	0xa6a3
㈢	2232	0xa6a4
㈣	2332	0xa6a5
㈤	2432	0xa6a6
㈥	2532	0xa6a7
㈦	2632	0xa6a8
㈧	2732	0xa6a9
㈨	2832	0xa6aa
㈩	2932	0xa6ab
㈩	0000	0xa6ab
㈩	0000	0xa6ab
Ⅰ	6021	0xa6ae
Ⅱ	6121	0xa6af
Ⅲ	6221	0xa6b0
Ⅳ	6321	0xa6b1
Ⅴ	6421	0xa6b2
Ⅵ	6521	0xa6b3
Ⅶ	6621	0xa6b4
Ⅷ	6721	0xa6b5
Ⅸ	6821	0xa6b6
Ⅹ	6921	0xa6b7
Ⅺ	6a21	0xa6b8
Ⅻ	6b21	0xa6b9
Ⅻ	0000	0xa6b9
Ⅻ	0000	0xa6b9
！	01ff	0xa6bc
＂	02ff	0xa6bd
＃	03ff	0xa6be
￥	e5ff	0xa6bf
％	05ff	0xa6c0
＆	06ff	0xa6c1
＇	07ff	0xa6c2
（	08ff	0xa6c3
）	09ff	0xa6c4
＊	0aff	0xa6c5
＋	0bff	0xa6c6
，	0cff	0xa6c7
－	0dff	0xa6c8
．	0eff	0xa6c9
／	0fff	0xa6ca
０	10ff	0xa6cb
１	11ff	0xa6cc
２	12ff	0xa6cd
３	13ff	0xa6ce
４	14ff	0xa6cf
５	15ff	0xa6d0
６	16ff	0xa6d1
７	17ff	0xa6d2
８	18ff	0xa6d3
９	19ff	0xa6d4
：	1aff	0xa6d5
；	1bff	0xa6d6
＜	1cff	0xa6d7
＝	1dff	0xa6d8
＞	1eff	0xa6d9
？	1fff	0xa6da
＠	20ff	0xa6db
Ａ	21ff	0xa6dc
Ｂ	22ff	0xa6dd
Ｃ	23ff	0xa6de
Ｄ	24ff	0xa6df
Ｅ	25ff	0xa6e0
Ｆ	26ff	0xa6e1
Ｇ	27ff	0xa6e2
Ｈ	28ff	0xa6e3
Ｉ	29ff	0xa6e4
Ｊ	2aff	0xa6e5
Ｋ	2bff	0xa6e6
Ｌ	2cff	0xa6e7
Ｍ	2dff	0xa6e8
Ｎ	2eff	0xa6e9
Ｏ	2fff	0xa6ea
Ｐ	30ff	0xa6eb
Ｑ	31ff	0xa6ec
Ｒ	32ff	0xa6ed
Ｓ	33ff	0xa6ee
Ｔ	34ff	0xa6ef
Ｕ	35ff	0xa6f0
Ｖ	36ff	0xa6f1
Ｗ	37ff	0xa6f2
Ｘ	38ff	0xa6f3
Ｙ	39ff	0xa6f4
